Nom, Vietnamese translated by hcmus
甲辰二年明永曆十八年清康熙三年春二月參酌會試塲條,giáp thìn nhị niên minh vĩnh lịch thập bát niên thanh khang hi tam niên xuân nhị nguyệt tham chước hội thí trường điều
例自是永爲常制〇,lệ tự thị vĩnh vi thường chế linh
帝加尊王以殊禮曉論文武臣僚曰朕聞建無窮之基必有無窮之聞有殊常之功必待殊常之禮刊諸捥琰萬世可徵,đế gia tôn vương dĩ thù lễ hiểu luận văn võ thần liêu viết trẫm văn kiến vô cùng chi cơ tất hữu vô cùng chi văn hữu thù thường chi công tất đãi thù thường chi lễ san chư uyển diễm vạn thế khả trưng
我國家乘時啓運應天順人,ngã quốc gia thừa thời khải vận ứng thiên thuận nhân
太祖髙皇帝起義平吳時多頼賢臣宣勞而功弘開創冠󰅾衣裳因而復正綱常統紀頼以復明,thái tổ cao hoàng đế khởi nghĩa bình ngô thì đa lại hiền thần tuyên lao nhi công hoằng khai sáng quan đai y thường nhân nhi phục chính cương thường thống kỷ lại dĩ phục minh
其荗功盛德盖亦罕有列,kì mậu công thịnh đức cái diệc hãn hữu liệt
聖皇帝繼體法祖時寔頼勳臣爲輔而業保守成紀綱制度罔不󰍶張號今典文煥,thánh hoàng đế kế thể pháp tổ thời thực lại huân thần vi phụ nhi nghiệp bảo thủ thành kỷ cương chế độ võng bất tất trương hiệu kim điển văn hoán
然可述其豊功偉績謁然可觀祭自光紹統元,nhiên khả thuật kì phong công vĩ tích yết nhiên khả quan tế tự quang thiệu thống nguyên
年間被莫氏之姦臣竊羿浞之禍心六年之間已無复矣,niên gian bị mạc thị chi gian thần thiết nghệ trác chi hoạ tâm lục niên chi gian dĩ vô phục hĩ
所幸皇天啓中興之基篤生鄭先祖世祖太王成祖哲王奮起布衣糾率義旅爲天下除殘安社稷爲念尊立我皇祖莊宗裕皇帝中宗武皇帝中興基業實肇於此,sở hạnh hoàng thiên khải trung hưng chi cơ đốc sinh trịnh tiên tổ thế tổ thái vương thành tổ triết vương phấn khởi bố y kiểu suất nghĩa lữ vi thiên hạ trừ tàn an xã tắc vi niệm tôn lập ngã hoàng tổ trang tông dụ hoàng đế trung tông vũ hoàng đế trung hưng cơ nghiệp thực triệu ư thử
至英宗峻皇帝自位時有小人耿潝廷彦之讒致有不平之事此時成祖哲王處大疑而不恤任重責而不顧欽立世宗毅皇帝即位于萬頼行在殿仍發大兵掃除僞莫收復京城英䧺並入彀中天下,chí anh tông tuấn hoàng đế tự vị thời hữu tiểu nhân cảnh hấp đình ngạn chi sàm trí hữu bất bình chi sự thử thời thành tổ triết vương xứ đại nghi nhi bất tuất nhiệm trọng trách nhi bất cố khâm lập thế tông nghị hoàng đế tức vị vu vạn lại hành tại điện nhưng phát đại binh tảo trừ nguỵ mạc thu phục kinh thành anh hùng tịnh nhập cấu trung thiên hạ
已運掌上,dĩ vận chưởng thượng
又能篤尊君之義奉迎聖駕進御昇龍城,hựu năng đốc tôn quân chi nghĩa phụng nghênh thánh giá tiến ngự thăng long thành
物光复复社更生春其聖德文功輝煥天地太山磐石寧撫國家雖中興之詩中興之碑曷足以形容其萬一,vật quang phục phục xã cánh sinh xuân kì thánh đức văn công huy hoán thiên địa thái sơn bàn thạch ninh phủ quốc gia tuy trung hưng chi thi trung hưng chi bi hạt túc dĩ hình dung kì vạn nhất
繼以敬宗惠皇帝䂓國綿長久之休于家督婚媾之義不意結與逆椿之邪謀卒啓不祥之釁,kế dĩ kính tông huệ hoàng đế quy quốc miên trường cửu chi hưu vu gia đốc hôn cấu chi nghĩa bất ý kết dữ nghịch xuân chi tà mưu tốt khải bất tường chi hấn
此時成祖哲王無纖芥于胸中不以天下自私更尊立我皇考神宗淵皇帝誕膺景命嗣守鴻圖若禮若度全資文祖誼王造就之功,thử thời thành tổ triết vương vô tiêm giới vu hung trung bất dĩ thiên hạ tự tư cánh tôn lập ngã hoàng khảo thần tông uyên hoàng đế đản ưng cảnh mệnh tự thủ hồng đồ nhược lễ nhược độ toàn tư văn tổ nghị vương tạo tựu chi công
兹大元帥掌國政尙師西王保乂,tư đại nguyên soái chưởng quốc chính thượng sư tây vương bảo nghệ
皇家撫安中外其忠愛拳拳始終弗渝,hoàng gia phủ an trung ngoại kì trung ái quyền quyền thuỷ chung phất du
又傅委王世子欽差節制各處水步諸營兼總政柄太尉宜國公鄭根内賛政機外楊武衞殄不庭之烏冦復有指之舊疆功盖宇宙德被生靈天下賴以平安而我家統綿有永治享無窮大扺皆王家匡扶其力之,hựu phó uỷ vương thế tử khâm sai tiết chế các xứ thuỷ bộ chư dinh kiêm tổng chính bính thái uý nghi quốc công trịnh căn nội tán chính cơ ngoại dương vũ vệ điễn bất đình chi ô khấu phục hữu chỉ chi cựu cương công cái vũ trụ đức bị sinh linh thiên hạ lại dĩ bình an nhi ngã gia thống miên hữu vĩnh trị hưởng vô cùng đại chỉ giai vương gia khuông phù kì lực chi
所致歟逮黄考適倦于勸危疑之際全頼尙師西王任託孤之寄惟節制府及大臣文武百官等尊立朕即皇帝位以繼大統養正旣顯󰌩功歸姝又諧泰祉其交修舊頼,sở trí dư đãi hoàng khảo thích quyện vu khuyến nguy nghi chi tế toàn lại thượng sư tây vương nhiệm thác cô chi ký duy tiết chế phủ cập đại thần văn võ bách quan đẳng tôn lập trẫm tức hoàng đế vị dĩ kế đại thống dưỡng chính ký hiển mông công quy xu hựu hài thái chỉ kì giao tu cựu lại
若是其切視夫前代之功之德益以大矣,nhược thị kì thiết thị phu tiền đại chi công chi đức ích dĩ đại hĩ
曾聞古者敬大臣之禮有敬以不名有敬以不拜况今尙師西王有大勳勞于天下其功德如天精忠貫日質諸前代而未有參諸前史而未聞若不荗著表揚何以稱王文之功聖之德副朕倚望之心,tằng văn cổ giả kính đại thần chi lễ hữu kính dĩ bất danh hữu kính dĩ bất bái huống kim thượng sư tây vương hữu đại huân lao vu thiên hạ kì công đức như thiên tinh trung quán nhật chất chư tiền đại nhi vị hữu tham chư tiền sử nhi vị văn nhược bất mậu trước biểu dương hà dĩ xưng vương văn chi công thánh chi đức phó trẫm ỷ vọng chi tâm
繼今應尊以不名不拜之禮其入朝特設板床於御殿之左以示殊禮,kế kim ứng tôn dĩ bất danh bất bái chi lễ kì nhập triều đặc thiết bản sàng ư ngự điện chi tả dĩ thị thù lễ
朕以幼冲嗣位雖未徧知來歷事由然常聞顧命之言不得不宣諭于天下使知王家功德之盛,trẫm dĩ ấu xung tự vị tuy vị biến tri lai lịch sự do nhiên thường văn cố mệnh chi ngôn bất đắc bất tuyên dụ vu thiên hạ sứ tri vương gia công đức chi thịnh
爾等欽哉〇,nhĩ đẳng khâm tai linh
三月會試天下舉人,tam nguyệt hội thí thiên hạ cử nhân
取中格武惟斷等十三名,thủ trung cách vũ duy đoạn đẳng thập tam danh
以阮潤爲刑部左侍郎阮國櫆爲刑部右侍郎黄榮爲大理寺卿〇,dĩ nguyễn nhuận vi hình bộ tả thị lang nguyễn quốc khôi vi hình bộ hữu thị lang hoàng vinh vi đại lý tự khanh linh
夏四月命副将少傅宗郡公鄭横陪從禮部左侍郎豊禄子吳濬襨考各處生徒于珥河沙中,hạ tứ nguyệt mệnh phó tướng thiếu phó tông quận công trịnh hoành bồi tòng lễ bộ tả thị lang phong lộc tử ngô tuấn phức khảo các xứ sinh đồ vu nhĩ hà sa trung
先是試法疏闊尙容懷挾,tiên thị thí pháp sơ khoát thượng dung hoài hiệp
庚子以來雖已禁止亦未周密中舉者多有木訥借手眾議沸騰,canh tử dĩ lai tuy dĩ cấm chỉ diệc vị chu mật trung cử giả đa hữu mộc nột tá thủ chúng nghị phí đằng
至是命官襨考丁酉庚子癸卯三科生徒,chí thị mệnh quan phức khảo đinh dậu canh tử quý mão tam khoa sinh đồ
考題用唐律詩一首與暗寫傅正文兼大註,khảo đề dụng đường luật thi nhất thủ dữ ám tả phó chính văn kiêm đại chú
入格者仍生徒不入格者留學三年,nhập cách giả nhưng sinh đồ bất nhập cách giả lưu học tam niên
免役,miễn dịch
再試不中者始還民受役,tái thí bất trung giả thuỷ hoàn dân thụ dịch
時不入格者過半〇,thời bất nhập cách giả quá bán linh
五月麥大熟〇,ngũ nguyệt mạch đại thục linh
禁便許職爵,cấm tiện hứa chức tước
時倖濫之徒多妄求職爵及封贈𦤶有名噐冗濫,thời hãnh lạm chi đồ đa vọng cầu chức tước cập phong tặng trí hữu danh khí nhũng lạm
故禁之〇,cố cấm chi linh
立粟米五量法其󰱡合升斗斛倣黄鍾律爲凖頒内外各衙門一體遵行〇,lập túc mễ ngũ lượng pháp kì dược hợp thăng đấu hộc phỏng hoàng chung luật vi chuẩn ban nội ngoại các nha môn nhất thể tuân hành linh
六月殿試,lục nguyệt điện thí
賜阮曰庻進士出身梁荗勳等十二名同進士出身〇,tứ nguyễn viết thứ tiến sĩ xuất thân lương mậu huân đẳng thập nhị danh đồng tiến sĩ xuất thân linh
以阮能紹爲吏部左侍郎武榮進爲副都御史阮名實爲清華處參政黎公朝爲清華處憲察使〇,dĩ nguyễn năng thiệu vi lại bộ tả thị lang vũ vinh tiến vi phó đô ngự sử nguyễn danh thực vi thanh hoa xứ tham chính lê công triều vi thanh hoa xứ hiến sát sử linh
貶石都督萊郡公鄭栢爲都督同知都督,biếm thạch đô đốc lai quận công trịnh bách vi đô đốc đồng tri đô đốc
同知纘郡公鄭𣛧爲都督僉事,đồng tri toản quận công trịnh chuôm vi đô đốc thiêm sự
時鄭栢鄭𣛧同任提領不能戒戢手下肆行冗弊受賂銀錢,thì trịnh bách trịnh chuôm đồng nhậm đề lĩnh bất năng giới tập thủ hạ tứ hành nhũng tệ thụ lộ ngân tiền
以是貶之,dĩ thị biếm chi
閏六月右都督全郡公鄭梯卒,nhuận lục nguyệt hữu đô đốc toàn quận công trịnh thê tốt
贈少保,tặng thiếu bảo
立追收賞罰條例,lập truy thu thưởng phạt điều lệ
其大畧以爲諸在社民有姦匈人同族同社平時不能訓戒至事發又不能捕納各罰錢五拾貫其所償財命錢收在犯人不得連捉,kì đại lược dĩ vi chư tại xã dân hữu gian hung nhân đồng tộc đồng xã bình thời bất năng huấn giới chí sự phát hựu bất năng bổ nạp các phạt tiền ngũ thập quán kì sở thường tài mệnh tiền thu tại phạm nhân bất đắc liên tróc
若犯人窮無所出許以罰錢給被害人送塟,nhược phạm nhân cùng vô sở xuất hứa dĩ phạt tiền cấp bị hại nhân tống táng
自是該勘諸司遵以爲常,tự thị cai khám chư ti tuân dĩ vi thường
秋七月申禁衣服過制,thu thất nguyệt thân cấm y phục quá chế
時官員民庻衣服多有不依,thời quan viên dân thứ y phục đa hữu bất y
官尺裁制,quan xích tài chế
至是復申禁之〇,chí thị phục thân cấm chi linh
八月以范質爲刑科都給事中〇,bát nguyệt dĩ phạm chất vi hình khoa đô cấp sự trung linh
冬十月刑部尙書桂堂侯致仕文允䌙卒,đông thập nguyệt hình bộ thượng thư quế đường hầu trí sĩ văn duẫn hoàng tốt
贈郡公爵〇,tặng quận công tước linh
十一月戊子朔日有食之〇,thập nhất nguyệt mậu tử sóc nhật hữu thực chi linh
己酉彗出東南翼軫分尾指張宿長五丈,kỷ dậu tuệ xuất đông nam dực chẩn phân vĩ chỉ trương túc trường ngũ trượng
帝與王交修儆省避宫殿减膳徹樂,đế dữ vương giao tu cảnh tỉnh tị cung điện giảm thiện triệt lạc
詔文武臣僚商議時政得失即散去非額水陸廵司凣十三處如正大廵慕周廵之類人心悅喜,chiếu văn võ thần liêu thương nghị thời chính đắc thất tức tán khứ phi ngạch thuỷ lục tuần ti phàm thập tam xứ như chính đại tuần mộ chu tuần chi loại nhân tâm duyệt hỉ
自是彗漸消散矣〇,tự thị tuệ tiệm tiêu tán hĩ linh
時諸犯人已經論罪迯遁者多令旨許各自首重者减輕者赦,thời chư phạm nhân dĩ kinh luận tội đào độn giả đa lệnh chỉ hứa các tự thủ trọng giả giảm khinh giả xá
不首者扺罪〇,bất thủ giả chỉ tội linh
設五府掌署,thiết ngũ phủ chưởng thự
官,quan
加太傅溪郡公鄭杖爲中軍都督府左都督掌府事太傅莅郡公鄭棟爲東軍都督府左都督掌府事少尉雲郡公鄭榩爲南軍都督府左都督署府事少尉豪郡公黎時憲爲西軍都督府左都督署府事少傅奠郡公鄭楃爲北軍都督府左都督署府事〇,gia thái phó khê quận công trịnh trượng vi trung quân đô đốc phủ tả đô đốc chưởng phủ sự thái phó lị quận công trịnh đống vi đông quân đô đốc phủ tả đô đốc chưởng phủ sự thiếu uý vân quận công trịnh kiền vi nam quân đô đốc phủ tả đô đốc thự phủ sự thiếu uý hào quận công lê thời hiến vi tây quân đô đốc phủ tả đô đốc thự phủ sự thiếu phó điện quận công trịnh ác vi bắc quân đô đốc phủ tả đô đốc thự phủ sự linh
僃置六部尙書員数,bị trí lục bộ thượng thư viên sổ
以參從范公著爲吏部尙書陪從陳登選爲户部尙書阮能紹爲禮部尙書武惟志爲兵部尙書潘兼全爲刑部尙書,dĩ tham tòng phạm công trước vi lại bộ thượng thư bồi tòng trần đăng tuyển vi hộ bộ thượng thư nguyễn năng thiệu vi lễ bộ thượng thư vũ duy chí vi binh bộ thượng thư phan kiêm toàn vi hình bộ thượng thư
又以黎仕澈爲御史󰉟都,hựu dĩ lê sĩ triệt vi ngự sử đài đô
